,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,21,37,-0.2758620642092748,0.061702127593933905,12.666666666666666,0.49880382715454086,5.266188197528483,12.666666666666666,417,833,2.839848672333104,3,7.506602632044895
1,38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,9,3,0.4999999583333368,0.04651162772669912,17.76923076923077,0.5324675301624783,7.3206793197573,17.76923076923077,123,230,2.968468455096989,3,7.5826086626843106
2,39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,37,49,-0.1395348820984316,0.10336538449114738,11.590909090909092,0.4614379078935452,4.8209387995210555,11.590909090909092,353,761,2.5494652372333353,12,6.885676732081897
3,40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,13,24,-0.2972972892622354,0.06379310333828775,13.210526315789474,0.492031871529817,5.481023274927717,13.210526315789474,247,497,2.774468079203259,5,7.23541246029092
4,41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,33,54,-0.24137930757035278,0.10609756084622249,13.875,0.5070785064258964,5.752831402570359,13.875,394,777,2.7434554937912887,3,7.343629334178083
5,42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,26,34,-0.13333333111111115,0.08759124074804199,14.818181818181818,0.48466257594376905,6.121137757650235,14.818181818181818,316,651,2.6195652133236567,6,6.987711202783854
6,43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,6,0,0.9999998333333611,0.021897810139059087,25.333333333333332,0.5789473658818098,10.364912279686058,25.333333333333332,132,228,2.9333333202962963,1,7.872806983014004
7,44,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,18,2,0.799999960000002,0.04237288126615915,12.823529411764707,0.4472477053962209,5.308310846864371,12.823529411764707,195,433,2.6363636302182667,3,7.062355641888324
8,45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,34,52,-0.2093023231476474,0.12164073533006968,17.10810810810811,0.5197472345659602,7.051142137069627,17.10810810810811,329,633,2.754045302986982,4,7.454976291540322
9,46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,34,24,0.17241379013079672,0.12083333308159723,13.457142857142857,0.37367303530005724,5.5323263569771655,13.457142857142857,176,469,2.4774193495109262,38,6.658848599874523
10,47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,10,36,-0.5652173790170135,0.0572139302770971,13.407407407407407,0.5027624302448033,5.564067935060884,13.407407407407407,364,724,2.7116212299689795,1,7.348066288193278
11,48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,18,29,-0.23404254821186068,0.06351351342768444,12.357142857142858,0.5231213865272812,5.1521056974680555,12.357142857142858,362,690,2.7467248868315504,1,7.455072452963663
12,49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,30,51,-0.25925925605852773,0.09890109878034054,13.2,0.5123966935090954,5.484958677403639,13.2,372,725,2.7208976118921493,2,7.365517231219976
13,50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,21,21,0.0,0.06965174117802364,14.923076923076923,0.4982817860854265,6.168543483664941,14.923076923076923,290,581,2.651646442544807,8,7.201376923921899
14,51,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,53,47,0.05999999940000001,0.09505703413017391,12.525641025641026,0.4626407364763145,5.195312704846937,12.525641025641026,452,973,2.5726315762393352,3,6.867420342376752
15,52,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,26,39,-0.199999996923077,0.05866425987485174,13.736842105263158,0.4904214554689449,5.690905424292842,13.736842105263158,512,1044,2.671487600545984,3,6.887931027885123
16,53,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,29,25,0.07407407270233199,0.09523809507012682,20.724137931034484,0.32612312757716616,8.420104423444661,20.724137931034484,196,601,2.3159722182014373,43,6.1813643823937365
17,54,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,41,65,-0.2264150922036312,0.08596918078996822,15.273972602739725,0.4887892372297854,6.305104735987804,15.273972602739725,545,1113,2.6473829176791708,8,7.220125779676436
18,55,https://insights.blackcoffer.com/evolution-of-advertising-industry/,38,52,-0.15555555382716052,0.1129234628445126,9.395061728395062,0.4152431006369999,3.9241219316128246,9.395061728395062,316,752,2.4867373972324436,8,6.606382969938321
19,56,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,13,14,-0.037037035665294975,0.07124010535292848,13.708333333333334,0.5349544056688316,5.6973150956008665,13.708333333333334,176,329,3.019417465956578,2,7.869300887935256
21,58,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,51,91,-0.28169013886133704,0.08814400987700557,14.49,0.46514837787084307,5.9820593511483375,14.49,674,1446,2.5328994920224877,7,6.8782849191713105
22,59,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,39,64,-0.242718444245452,0.1214622640077096,13.073529411764707,0.3993250839152699,5.389141798271991,13.073529411764707,355,882,2.406143341972533,35,6.48639455046894
23,60,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,38,66,-0.26923076664201184,0.08652246249041391,10.852941176470589,0.4652213184596013,4.527264997972076,10.852941176470589,515,1103,2.577212803599611,13,6.8032638197613196
24,61,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,45,78,-0.268292680745588,0.10397295003890705,13.987804878048781,0.4812554485778069,5.787624130650635,13.987804878048781,552,1145,2.6133928548094705,8,6.977292570325508
25,62,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,25,41,-0.2424242387511479,0.08505154628215007,11.94915254237288,0.4751773042905286,4.9697319386653644,11.94915254237288,335,702,2.7025796620598186,8,6.970085460156573
26,63,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,62,17,0.5696202459541742,0.0629482071211568,16.863636363636363,0.5211141055515596,6.9539001876751705,16.863636363636363,580,1111,2.753222833560568,3,7.333933386738133
27,64,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,21,24,-0.06666666518518523,0.0670640833575796,16.63888888888889,0.49415692738871964,6.853218326511044,16.63888888888889,296,598,2.719999995269565,4,7.187290957880784
28,65,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,49,85,-0.2686567144130096,0.13085937487220764,13.285714285714286,0.4892473113018846,5.509984638806468,13.285714285714286,455,926,2.7090707934634173,8,7.181425478205804
29,66,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,13,17,-0.13333332888888902,0.09174311898549505,14.842105263157896,0.5496453881218248,6.156700260511888,14.842105263157896,155,281,2.9283154016906257,3,7.8434163421942475
30,67,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,15,7,0.36363634710743875,0.041353383380914696,14.333333333333334,0.5073995760942926,5.936293163771051,14.333333333333334,240,472,2.838926168145579,2,7.330508459045533
31,68,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,28,57,-0.34117646657439454,0.06799999994559999,20.8,0.4379370625542508,8.495174825021701,20.8,501,1144,2.754751128728732,3,7.201923070627689
32,69,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,86,32,0.4576271147658719,0.09516129024583767,14.960526315789474,0.4942832009724861,6.181923806704784,14.960526315789474,562,1132,2.634821426218909,1,7.1475264954527145
33,70,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,32,22,0.18518518175583,0.05325443781730332,13.194029850746269,0.4943438908435024,5.475349496635909,13.194029850746269,437,882,2.749999996787383,7,7.265306114211671
34,71,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,31,19,0.23999999520000012,0.08291873949764719,17.612903225806452,0.5934065923197681,7.282523927250487,17.612903225806452,324,546,2.9385474805613643,1,7.754578740376229
35,72,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,12,10,0.09090908677685969,0.055415616988877536,21.533333333333335,0.5634674905155805,8.838720329539568,21.533333333333335,182,322,3.015723260956845,5,7.779503081430115
36,73,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,11,7,0.2222222098765439,0.05232558124323959,15.95,0.4420062682068769,6.556802507282751,15.95,141,318,2.668789800417867,8,7.066037713628813
37,74,https://insights.blackcoffer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,5,16,-0.5238094988662143,0.05614973247018788,16.789473684210527,0.5673981173435796,6.942748720621643,16.789473684210527,181,319,2.967426700431835,5,7.7805642389324
38,75,https://insights.blackcoffer.com/why-does-your-business-need-a-chatbot/,9,7,0.12499999218750048,0.05063291123217433,18.928571428571427,0.5056603754503383,7.7736927216087075,18.928571428571427,134,265,2.9246031629976064,4,7.426415066315415
39,76,https://insights.blackcoffer.com/how-you-lead-a-project-or-a-team-without-any-technical-expertise/,10,11,-0.04761904535147403,0.07118644043665613,13.15,0.5969581726351401,5.498783269054057,13.15,157,263,3.069230757426036,7,7.946768030620654
40,77,https://insights.blackcoffer.com/can-you-be-great-leader-without-technical-expertise/,13,3,0.6249999609375024,0.05423728795173801,12.578947368421053,0.5188284497120148,5.239110327253227,12.578947368421053,124,239,3.054054040297054,1,7.652719633252219
